Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~sai.PrjPcb|ReportField=ProjectFullPath~C:\Users\dijos\Documents\Mini_Project\PCB Layout\sai.PrjPcb|ReportField=Title~Bill of Materials For Project [sai.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~34|ReportField=ReportTime~11:48:49|ReportField=ReportDate~09-04-2019|ReportField=ReportDateTime~09-04-2019 11:48:49|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~09-04-2019|ReportField=CurrentTime~11:38:56|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\dijos\Documents\Mini_Project\PCB Layout\sai_arduinoPinMap.SchDoc|ReportField=DocumentName~sai_arduinoPinMap.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~09-04-2019|ReportField=Organization~|ReportField=ProjectName~sai.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~sai.PrjPcb|ReportField=DataSourceFullPath~C:\Users\dijos\Documents\Mini_Project\PCB Layout\sai.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Header 6|Header, 6-Pin|Analog, P1|HDR1X6|Header 6|2
2|Motor Servo|Servo Motor|B1, B2, B3, B4|RAD-0.4|Motor Servo|4
3|Diode 1N4007|1 Amp General Purpose Rectifier|D1, D2, D3, D4|DO-41|Diode 1N4007|4
4|Header 5|Header, 5-Pin|Digital1, Digital2|HDR1X5|Header 5|2
5|Header 2|Header, 2-Pin|P2|HDR1X2|Header 2|1
6|PMOS-2|P-Channel Power MOSFET|Q1, Q2, Q3, Q4|TO-220AB|PMOS-2|4
7|NMOS-2|N-Channel Power MOSFET|Q5, Q6, Q7, Q8|TO-220AB|NMOS-2|4
8|Res2|Resistor|R1, R2, R3, R4, R5, R6, R7|AXIAL-0.4|Res2|7
9|SW-PB|Switch|S1|SPST-2|SW-PB|1
10|4N35|Optoisolator; Analog; 6-Pin DIP; Transistor; 6 PIN SINGLE; 100% CTR;|U1, U2, U4, U5|*DIL06|4N35|4
11|ATMEGA328P-PU|Embedded microcontroller ATMEGA328P-PU PDIP 28 Microchip Technology 8-Bit 20 MHz I/O number 23|U3|*DIP254P762X457-28|ATMEGA328P-PU|1
